取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","イカうに焼","","",780,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","あさり酒煮し","","",650,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"サラダ","シーフードサラダ","","",880,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","ウーロン茶","","",250,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,7,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"ウイスキー","フリージングハイボール","","",380,11,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","柚子酢サワー","","",380,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,4,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
000220170404004835530,2017/04/04,00:48:50,6600,6600,488,6600,0,0,0,0,0,0,0,0,0,0,0,1,3,00:00:00,"伝票00020061",0002,"周","出前","出前(特上にぎり)","","",2200,3,0,0,-,0,FE16E954143B40EAB859FA7742557136,"未設定"
RB0120170403234248000,2017/04/04,01:25:31,9850,9380,729,9850,0,0,0,0,0,0,0,0,0,0,-7,1,18,01:42:43,"カウンター2",0002,"周","焼き物","かきバター焼","","",780,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,"未設定"
